gender,age_band,item,percentile,value
F,25-29,grip,10,39.3
F,25-29,grip,25,44.5
F,25-29,grip,50,49.8
F,25-29,grip,75,55.0
F,25-29,grip,90,60.1
F,25-29,sit_up,10,14.0
F,25-29,sit_up,25,21.0
F,25-29,sit_up,50,29.0
F,25-29,sit_up,75,35.0
F,25-29,sit_up,90,42.0
F,25-29,sit_reach,10,5.6
F,25-29,sit_reach,25,11.6
F,25-29,sit_reach,50,17.2
F,25-29,sit_reach,75,21.4
F,25-29,sit_reach,90,25.1
F,25-29,shuttle_run,10,12.4
F,25-29,shuttle_run,25,17.0
F,25-29,shuttle_run,50,22.0
F,25-29,shuttle_run,75,28.0
F,25-29,shuttle_run,90,33.0
F,25-29,standing_jump,10,128.0
F,25-29,standing_jump,25,144.0
F,25-29,standing_jump,50,158.0
F,25-29,standing_jump,75,170.0
F,25-29,standing_jump,90,181.0
F,30-34,grip,10,35.9
F,30-34,grip,25,41.7
F,30-34,grip,50,47.3
F,30-34,grip,75,53.6
F,30-34,grip,90,59.0
F,30-34,sit_up,10,13.0
F,30-34,sit_up,25,21.0
F,30-34,sit_up,50,28.0
F,30-34,sit_up,75,36.0
F,30-34,sit_up,90,43.0
F,30-34,sit_reach,10,3.0
F,30-34,sit_reach,25,10.3
F,30-34,sit_reach,50,16.7
F,30-34,sit_reach,75,21.2
F,30-34,sit_reach,90,24.8
F,30-34,shuttle_run,10,10.0
F,30-34,shuttle_run,25,14.0
F,30-34,shuttle_run,50,20.0
F,30-34,shuttle_run,75,26.0
F,30-34,shuttle_run,90,33.3
F,30-34,standing_jump,10,121.0
F,30-34,standing_jump,25,136.0
F,30-34,standing_jump,50,153.0
F,30-34,standing_jump,75,167.0
F,30-34,standing_jump,90,179.0
F,35-39,grip,10,36.0
F,35-39,grip,25,41.2
F,35-39,grip,50,47.5
F,35-39,grip,75,53.4
F,35-39,grip,90,58.6
F,35-39,sit_up,10,12.0
F,35-39,sit_up,25,19.0
F,35-39,sit_up,50,26.0
F,35-39,sit_up,75,33.0
F,35-39,sit_up,90,40.0
F,35-39,sit_reach,10,1.5
F,35-39,sit_reach,25,9.2
F,35-39,sit_reach,50,15.8
F,35-39,sit_reach,75,20.9
