course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1893,경락 체조와 싱잉볼 파장이완,사상평생학습관,35.155622,128.986692,월,10:00,생활체조,0,1,1,0,0
C1894,댄스스포츠,제1강의실,37.466764,126.869901,목,14:00,댄스,0,1,0,1,0
C1895,댄스스포츠,제1강의실,37.466764,126.869901,화,14:00,댄스,0,1,0,1,0
C1896,체력단련실(4~6월),하안3동 행정복지센터 지하1층 체력단련실,37.466764,126.869901,금,07:00,생활체육,1,1,0,0,0
C1897,체력단련실(4~6월),하안3동 행정복지센터 지하1층 체력단련실,37.466764,126.869901,목,07:00,생활체육,1,1,0,0,0
C1898,체력단련실(4~6월),하안3동 행정복지센터 지하1층 체력단련실,37.466764,126.869901,수,07:00,생활체육,1,1,0,0,0
C1899,체력단련실(4~6월),하안3동 행정복지센터 지하1층 체력단련실,37.466764,126.869901,화,07:00,생활체육,1,1,0,0,0
C1900,체력단련실(4~6월),하안3동 행정복지센터 지하1층 체력단련실,37.466764,126.869901,월,07:00,생활체육,1,1,0,0,0
C1901,우리춤체조,청락원,35.185851,128.102724,월,13:30,생활체조,0,1,1,0,0
C1902,라인댄스(초급),청락원,35.185851,128.102724,목,10:00,댄스,0,1,0,1,0
C1903,체력단련실,4층 체력단련실,37.466764,126.869901,화,09:00,생활체육,1,1,0,0,0
C1904,체력단련실,4층 체력단련실,37.466764,126.869901,월,09:00,생활체육,1,1,0,0,0
C1905,체력단련실,4층 체력단련실,37.466764,126.869901,금,09:00,생활체육,1,1,0,0,0
C1906,체력단련실,4층 체력단련실,37.466764,126.869901,목,09:00,생활체육,1,1,0,0,0
C1907,체력단련실,4층 체력단련실,37.466764,126.869901,수,09:00,생활체육,1,1,0,0,0
C1908,추첨-다이어트댄스(하안3동주민만접수가능),제1강의실,37.466764,126.869901,수,09:10,댄스,0,1,0,1,0
C1909,추첨-다이어트댄스(하안3동주민만접수가능),제1강의실,37.466764,126.869901,월,09:10,댄스,0,1,0,1,0
C1910,추첨-줌바댄스(하안3동주민만접수가능),제1강의실,37.466764,126.869901,수,19:00,댄스,0,1,0,1,0
C1911,추첨-줌바댄스(하안3동주민만접수가능),제1강의실,37.466764,126.869901,월,19:00,댄스,0,1,0,1,0
C1912,추첨-라인댄스(하안3동주민만접수가능),제1강의실,37.466764,126.869901,수,11:00,댄스,0,1,0,1,0
C1913,추첨-라인댄스(하안3동주민만접수가능),제1강의실,37.466764,126.869901,월,11:00,댄스,0,1,0,1,0
C1914,라인댄스(초급B),소하2동 행정복지센터,37.466764,126.869901,수,19:30,댄스,0,1,0,1,0
C1915,라인댄스(초급B),소하2동 행정복지센터,37.466764,126.869901,월,19:30,댄스,0,1,0,1,0
C1916,라인댄스(중급),소하2동 행정복지센터,37.466764,126.869901,금,14:00,댄스,0,1,0,1,0
C1917,시니어건강체조,소하2동 행정복지센터,37.466764,126.869901,수,14:00,생활체조,0,1,1,0,0
C1918,시니어건강체조,소하2동 행정복지센터,37.466764,126.869901,월,14:00,생활체조,0,1,1,0,0
C1919,체력단련실,소하2동 행정복지센터,37.466764,126.869901,금,08:00,생활체육,1,1,0,0,0
C1920,체력단련실,소하2동 행정복지센터,37.466764,126.869901,목,08:00,생활체육,1,1,0,0,0
C1921,체력단련실,소하2동 행정복지센터,37.466764,126.869901,수,08:00,생활체육,1,1,0,0,0
C1922,체력단련실,소하2동 행정복지센터,37.466764,126.869901,화,08:00,생활체육,1,1,0,0,0
C1923,체력단련실,소하2동 행정복지센터,37.466764,126.869901,월,08:00,생활체육,1,1,0,0,0
