address,lat,lng,method
경상남도 산청군 금서면 친환경로 2536,35.417468,127.863115,address
경상남도 산청군 단성면 목화로 985,35.298875,127.957646,address
경상남도 산청군 산청읍 산엔청로 42,35.413382,127.877443,address
경상남도 산청군 삼장면 덕산대포로 257,35.298234,127.831758,address
경상남도 산청군 생비량면 비량로 38,35.344888,128.045147,address
경상남도 산청군 생초면 생초로 58,35.493159,127.832891,address
경상남도 산청군 시천면 남명2길 21,35.278410,127.840565,address
경상남도 산청군 신등면 신차로 576,35.382824,128.006601,address
경상남도 산청군 신안면 원지로 11-15,35.304601,127.974049,address
경상남도 양산시 강변로 322,35.328146,129.023698,address
경상남도 양산시 교동1길 18,35.345280,129.026264,address
경상남도 양산시 동면 강변로 30,35.303233,129.020081,address
경상남도 양산시 동면 내송내안2길 11,35.320334,129.065046,address
경상남도 양산시 동면 양산대로 377,35.306585,129.025179,address
"경상남도 양산시 물금읍 물금로 223, 복지허브타운 4층",35.321933,129.002687,address
"경상남도 양산시 물금읍 물금로 225, 복지허브타운 4층",35.322472,129.003323,address
경상남도 양산시 물금읍 황산로 384,35.310355,128.987284,address
경상남도 양산시 번영로 35,35.375115,129.149071,address
경상남도 양산시 북안남5길 21,35.345961,129.040465,address
경상남도 양산시 북정중앙로 34,35.361704,129.048108,address
경상남도 양산시 서창로 194,35.416253,129.173146,address
경상남도 양산시 소주회야1길 5-26,35.407504,129.157723,address
경상남도 양산시 신기서길 27,35.352822,129.040605,address
경상남도 양산시 양주로 130,35.336562,129.032280,address
경상남도 양산시 어곡터널로 31,35.375580,129.030052,address
경상남도 양산시 원동로 1598,35.370209,128.920592,address
"경상남도 양산시 중앙로 133, 남부시장 청년몰 2층",35.342444,129.037237,address
경상남도 양산시 평산로 71,35.381652,129.146983,address
경상남도 의령군 의령읍 의병로8길 44,35.315454,128.255893,address
경상남도 진주시 공단로 53(상평동),35.175669,128.105800,address
경상남도 진주시 남강로651번길 12,35.192140,128.083253,address
경상남도 진주시 내동면 삼계로 430,35.159240,128.032108,address
경상남도 진주시 동진로 271(상대동),35.180584,128.120835,address
경상남도 진주시 모덕로 47번길 40(상대동),35.185851,128.102724,address
경상남도 진주시 문산읍 월아산로1048번길 26-11,35.163507,128.167960,address
경상남도 진주시 진주대로1037(동성동),35.192233,128.084415,address
경상남도 진주시 판문오동길115번길 62-33(판문동),35.184594,128.032139,address
"경상남도 창녕군 창녕읍 당산1길 11, 2층",35.541721,128.494896,address
경상남도 창원시 마산합포구 진동면 삼진의거대로 661-94,35.119326,128.489777,address
경상남도 창원시 성산구 두대로 197-33,35.225950,128.663832,address
경상남도 통영시 봉수로 37,34.828134,128.415711,address
경상남도 하동군 적량면 공설운동장로 207,35.063863,127.777541,address
경상남도 하동군 하동읍 섬진강대로 2222,35.072432,127.741131,address
경상남도 하동군 하동읍 중앙3길 12-9,35.070503,127.745480,address
경상남도 함안군 가야읍 선왕길 16,35.284785,128.401930,address
경상남도 함양군 함양읍 함양남서로 1078,35.511453,127.731829,address
경상북도 경산시 서상길 77,35.818745,128.733996,address
경상북도 경산시 하양읍 문화로 24,35.911523,128.812804,address
경상북도 경주시 북성로 87,35.847975,129.210764,address
경상북도 고령군 대가야읍 왕릉로 30 대가야문화누리,35.723576,128.263094,address
경상북도 구미시 산호대로 243,36.105560,128.383901,address
경상북도 구미시 지산15길 5,36.143363,128.346185,address
경상북도 김천시 공단2길30-22,36.143865,128.137236,address
경상북도 김천시 구성면 상좌원1길 16,36.032695,128.047355,address
경상북도 김천시 어모면 어모로 279,36.180286,128.118965,address
경상북도 김천시 혁신4로 21,36.121439,128.183687,address
경상북도 문경시 시청2길 30,36.587893,128.187853,address
경상북도 봉화군 봉화로 1203,36.890719,128.741854,address
경상북도 안동시 안기천로 48,36.561861,128.717236,address
경상북도 안동시 제비원로 93,36.560459,128.720207,address
경상북도 영양군 석보면 석보로 419,36.558405,129.122282,address
경상북도 영양군 석보면 옥계3길 4,36.567894,129.128069,address
경상북도 영양군 입암면 조기리길 10,36.593057,129.090266,address
경상북도 영양군 청기면 청기로 1139,36.660874,129.063305,address
경상북도 영주시 가흥로 2,36.800741,128.602823,address
경상북도 영주시 영주로159번길 63,36.828382,128.616055,address
경상북도 영천시 최무선로 243,35.965290,128.926549,address
경상북도 울릉군 울릉읍 봉래2길 31,37.493715,130.908758,address
경상북도 의성군 단북면 안계길 251,36.392180,128.428710,address
경상북도 의성군 의성읍 중리길 44,36.354038,128.700839,address
경상북도 의성군 의성읍 후죽 3길 4,36.355485,128.694662,address
경상북도 청송군 주왕산면 이전새마을길15,36.358189,129.161766,address
경상북도 청송군 진보면 진안동2길 4-10,36.529459,129.046770,address
경상북도 청송군 청송읍 중앙로 306-39,36.432335,129.061598,address
경상북도 포항시 남구 뱃머리길 39(상도동),36.006779,129.355179,address
대구광역시 남구 장전2길 5,35.840389,128.576872,address
대구광역시 달서구 조암로5길 5-12(3~5층),35.824489,128.528106,address
대구광역시 수성구 국채보상로 1001 (만촌동),35.866326,128.639979,address
대구광역시 수성구 달구벌대로 3091 (시지동),35.843475,128.695184,address
대구광역시 수성구 들안로 16길 78(두산동),35.839186,128.618120,address
대구광역시 수성구 명덕로 73길 7(수성동 1가),35.855157,128.610346,address
대구광역시 수성구 지범로 21길 16(지산동),35.824915,128.637006,address
대구광역시 수성구 파동로3길 62(파동),35.810456,128.618148,address
대전광역시 대덕구 선비마을로 260(법동),36.374843,127.428228,address
대전광역시 동구 동구청로 147,36.312036,127.454917,address
대전광역시 동구 동구청로 36,36.301876,127.460308,address
대전광역시 서구 갈마중로 21(갈마동),36.348269,127.371291,address
대전광역시 서구 배재로 181(도마동),36.324683,127.369786,address
대전광역시 유성구 대덕대로 1175,36.431955,127.387046,address
대전광역시 유성구 엑스포로 438(문지동),36.395281,127.405224,address
대전광역시 유성구 유성대로626번길 57(구암동),36.349267,127.330255,address
대전광역시 중구 대흥로 109(대흥동),36.323540,127.424395,address
대전광역시 중구 중교로 56,36.325601,127.425929,address
부산광역시 강서구 대저로63번길 31,35.216761,128.959338,address
부산광역시 강서구 영강길19번길 58,35.108164,128.926324,address
부산광역시 금정구 작장2길 49,35.282587,129.092883,address
부산광역시 기장군 기장읍 기장대로560,35.243475,129.222953,address
부산광역시 기장군 기장읍 기장대로82-8,35.204054,129.207170,address
부산광역시 기장군 기장읍 소정안길 68,35.206415,129.206184,address
부산광역시 기장군 기장읍 차성로 344번길 13,35.249363,129.215284,address
부산광역시 기장군 기장읍 차성로 461,35.257150,129.218781,address
부산광역시 기장군 기장읍 차성로206,35.235901,129.213634,address
부산광역시 기장군 기장읍 차성로344번길,35.244418,129.222422,facility
부산광역시 기장군 월내해안길 81,35.326183,129.278139,address
부산광역시 기장군 일광읍 해송1로 33,35.268643,129.230066,address
부산광역시 기장군 장안읍 신리길 17-36,35.356225,129.267621,address
부산광역시 기장군 장안읍 임랑2길 1-6,35.317646,129.261953,address
부산광역시 기장군 장안읍 좌천4길 9-9,35.311995,129.241822,address
부산광역시 기장군 정관읍 가동3로2,35.328684,129.179094,address
부산광역시 기장군 정관읍 산단2로 60,35.318515,129.184833,address
부산광역시 기장군 정관읍 임곡1길,35.350522,129.141520,address
부산광역시 기장군 정관중앙로 83-14,35.324756,129.179084,address
부산광역시 기장군 철마면 백길길1,35.283456,129.155821,address
부산광역시 기장군 철마면 철마로485,35.275212,129.149762,address
"부산광역시 남구 못골로 19, 남구청 별관 3층",35.136522,129.084429,address
"부산광역시 동구 증산서로 18-1, 지하1층",35.136138,129.048604,address
"부산광역시 동구 초량중로 38, 3층",35.115285,129.037629,address
부산광역시 동래구 복천로1,35.205778,129.086101,address
부산광역시 동래구 충렬대로 306,35.199413,129.092309,address
부산광역시 부산진구 시민공원로 30,35.162831,129.053188,address
부산광역시 북구 낙동대로1739번길 361,35.240480,129.008585,address
부산광역시 북구 백양대로1016번다길 43,35.196418,128.994933,address
부산광역시 북구 은행나무로 26,35.207165,129.037860,address
"부산광역시 사상구 모라로 93, 2층 (모라평생학습관)",35.187003,128.989979,address
부산광역시 사상구 새벽로 168번길 61 (사상평생학습관),35.155622,128.986692,address
부산광역시 사하구 하신중앙로 185 5층,35.095018,128.961469,address
부산광역시 서구 구덕로120 (토성동4가),35.097539,129.023426,address
부산광역시 수영구 수영로 521번길 77(광안동),35.152938,129.107459,address
부산광역시 중구 대청로116번길 13,35.101819,129.032220,address
서울특별시 강남구 논현로 131길 40,37.513847,127.027106,address
서울특별시 강서구 공항대로 615,37.547337,126.873319,address
서울특별시 관악구 관악로 1 서울대학교 사범대학,37.466287,126.948156,address
서울특별시 관악구 남부순환로 1546,37.482991,126.922412,address
서울특별시 광진구 면목로 13,37.555485,127.075349,address
서울특별시 광진구 자양로 15길 60,37.535298,127.080413,address
서울특별시 노원구 동일로217길 48,37.653035,127.057994,address
서울특별시 노원구 동일로986,37.618216,127.075912,address
서울특별시 동작구 노량진로 140,37.512757,126.941701,address
서울특별시 동작구 장승배기로 168,37.512614,126.940553,address
서울특별시 서대문구 수색로2길 39,37.571314,126.915905,address
서울특별시 성동구 금호로 30 독서당인문아카데미센터,37.546203,127.025278,address
서울특별시 성동구 독서당로 194-1 201호 스트레치뱅 옥수점,37.542775,127.012762,address
서울특별시 성동구 자동차시장길 49 서울특별시새활용플라자 4층 연지공방,37.558612,127.057823,address
서울특별시 성동구 행당로9길 9 2층,37.558218,127.029355,address
서울특별시 송파구 마천로35길 12,37.499910,127.145628,address
서울특별시 영등포구 도신로4길20,37.501699,126.895950,address
서울특별시 은평구 연서로 268,37.620238,126.924549,address
서울특별시 중랑구 망우로67길 10,37.600561,127.101438,address
울산광역시 중구 중앙길 136,35.555828,129.320972,address
인천광역시 강화군 강화읍 동문안길20번길 16,37.747093,126.488768,address
"인천광역시 부평구 산청로 129, 4층 부평구평생학습관, 부평구청소년복합문화센터(청천동)",37.520549,126.701862,address
인천광역시 부평구 신트리로 21,37.506590,126.723638,address
인천광역시 연수구 경원대로 73,37.398231,126.672159,address
인천광역시 연수구 연구단지로 14(송도동),37.378687,126.658522,address
인천광역시 연수구 원인재로 115,37.409494,126.678338,address
인천광역시 연수구 청량로185번길 31,37.423007,126.651089,address
"전북특별자치도 군산시 조촌4길 46 (조촌동, 전북특별자치도교육청군산학생교육문화관)",35.971192,126.736505,address
"전북특별자치도 김제시 금산면 원평로 97 (성계리, 전북특별자치도교육청김제학생교육문화관 금산분관)",35.717325,126.994606,address
"전북특별자치도 김제시 요촌북로 72 (요촌동, 전북특별자치도교육청김제학생교육문화관)",35.806820,126.892160,address
"전북특별자치도 남원시 요천로 1283, 남원시 평생학습관 본관",35.397824,127.363102,address
"전북특별자치도 남원시 용성로 49 (동충동, 전북특별자치도교육청남원학생교육문화관)",35.409877,127.381585,address
"전북특별자치도 남원시 운봉읍 운봉로 725 (서천리, 운봉초등학교)",35.441306,127.533009,address
전북특별자치도 무주군 무주읍 한풍루로 326-36,36.002088,127.664187,address
"전북특별자치도 부안군 부안읍 남문안길 10 (동중리, 전북특별자치도교육청부안학생교육문화관)",35.730738,126.734882,address
전북특별자치도 완주군 경천면 구재길 23-105,36.041454,127.266179,address
전북특별자치도 완주군 고산면 고산로 147-9,35.974752,127.212929,address
전북특별자치도 완주군 구이면 구이로 1481,35.731409,127.119050,address
전북특별자치도 완주군 구이면 난산평촌로 36-28,35.749463,127.166806,address
전북특별자치도 완주군 구이면 두방길 31,35.747429,127.117554,address
전북특별자치도 완주군 구이면 상하학길 98,35.732065,127.110402,address
전북특별자치도 완주군 동산면 송광수만로 1122,36.116627,127.329765,sigungu
전북특별자치도 완주군 동상면 동상로 1404,35.935834,127.297593,address
전북특별자치도 완주군 동상면 수만길 40,35.923579,127.274632,address
전북특별자치도 완주군 봉동읍 낙평신월2길 39,35.927798,127.161070,address
전북특별자치도 완주군 비봉면 반곡서원길 130,36.019146,127.171589,address
전북특별자치도 완주군 비봉면 이수백로 483,36.004931,127.191672,address
전북특별자치도 완주군 삼례읍 삼례로 443,35.911576,127.067812,address
전북특별자치도 완주군 삼례읍 삼봉로 48,35.913068,127.077861,address
전북특별자치도 완주군 상관면 신리로 109,35.771673,127.206759,address
전북특별자치도 완주군 소양면 소양로 161,35.854095,127.225884,address
전북특별자치도 완주군 소양면 송광수만로 762-10,35.905748,127.258096,address
전북특별자치도 완주군 용진읍 목효로 158-17,35.877382,127.173913,address
전북특별자치도 완주군 용진읍 부평길 32,35.891967,127.165302,address
전북특별자치도 완주군 용진읍 상삼용암1길 69,35.865428,127.180472,address
전북특별자치도 완주군 용진읍 운곡4로 20,35.905882,127.165574,address
전북특별자치도 완주군 용진읍 운곡5로 29,35.902063,127.165547,address
전북특별자치도 완주군 운주면 평촌로 343,36.116627,127.329765,sigungu
전북특별자치도 완주군 이서면 대농금계길 75,35.852478,127.012320,address
전북특별자치도 완주군 화산면 화산로 830-14,36.035688,127.203412,address
전북특별자치도 완주군 화산면 화산로 864-1,36.034165,127.200296,address
"전북특별자치도 익산시 고봉로 55 (마동, 전북특별자치도교육청익산학생교육문화관)",35.938965,126.960654,address
전북특별자치도 익산시 선화로133,35.948176,126.945422,address
"전북특별자치도 익산시 함열읍 동지상길 12-13 (와리, 초대감리교회)",36.085722,126.957678,address
"전북특별자치도 익산시 함열읍 함열중앙로 53 (와리, 전북특별자치도교육청익산학생교육문화관 함열분관)",36.078654,126.963399,address
전북특별자치도 임실군 강진면 호국로 47,35.530347,127.163578,address
전북특별자치도 임실군 관촌면 사선1길 13,35.673825,127.270838,address
전북특별자치도 임실군 임실읍 봉황로 144,35.613482,127.279549,address
전북특별자치도 임실군 지사면 충효로 2437,35.563790,127.357270,address
전북특별자치도 임실군 청웅면 청웅로 153,35.569774,127.201292,address
전북특별자치도 장수군 장수읍 한누리로 378,35.640237,127.519819,address
전북특별자치도 장수군 장수읍 한누리로 393,35.641086,127.518203,address
전북특별자치도 전주시 덕진구 구총목로 11,35.828028,127.161202,address
"전북특별자치도 전주시 덕진구 안덕원로 71 (진북동, 전북특별자치도교육청전주학생교육문화관)",35.828717,127.137205,address
전북특별자치도 정읍시 칠보면 중앙로 158 (무성리 32-17),35.567150,126.857056,sigungu
전북특별자치도 진안군 진안읍 성산2길 6,35.789692,127.424029,address
전북특별자치도 진안군 진안읍 진무로 1054-34,35.787141,127.426443,address
제주특별자치도 서귀포시 서문로29번길 10,33.249304,126.558544,address
제주특별자치도 제주시 구좌읍 일주동로 3148(세화리 1198-1),33.520450,126.854568,address
제주특별자치도 제주시 사라봉동길 15,33.514090,126.547109,address
충청남도 금산군 금산읍 금산로 1559,36.112067,127.491639,address
충청남도 논산시 관촉로 113-23,36.196580,127.107173,address
