course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1895,,창선생활체육공원테니스장,34.861237,128.015532,,,테니스,0,0,0,1,1
C1896,,창선생활체육관,34.862196,128.016038,,,생활체육,1,1,0,0,0
C1897,,가곡 파크골프장,35.475152,128.761412,,,파크골프,0,0,1,0,0
C1898,,가곡농구장,35.481239,128.762183,,,농구,0,0,0,1,1
C1899,,무안 파크골프장,35.477868,128.657625,,,파크골프,0,0,1,0,0
C1900,,밀양국민체육센터(밀양스포츠센터),35.505707,128.745295,,,생활체육,1,1,0,0,0
C1901,,밀양그라운드골프장,35.480352,128.742759,,,골프,0,0,1,0,1
C1902,,밀양스포츠센터 수영장,35.505707,128.745295,,,수영,0,1,1,1,0
C1903,,밀양스포츠센터 테니스장,35.505678,128.744836,,,테니스,0,0,0,1,1
C1904,,밀양시국궁장,35.489713,128.784211,,,국궁,1,0,1,0,0
C1905,,밀양종합운동장 부속테니스장,35.505678,128.744836,,,테니스,0,0,0,1,1
C1906,,밀양파크골프장,35.480352,128.742759,,,파크골프,0,0,1,0,0
C1907,,배드민턴경기장,35.504507,128.745278,,,배드민턴,0,0,0,1,1
C1908,,사포테니스장,35.473778,128.740388,,,테니스,0,0,0,1,1
C1909,,삼랑진 파크골프장,35.391209,128.839494,,,파크골프,0,0,1,0,0
C1910,,삼문농구장,35.488629,128.759504,,,농구,0,0,0,1,1
C1911,,스포츠파크,35.503570,128.834906,,,생활체육,1,1,0,0,0
C1912,,연금체육공원,35.432923,128.765496,,,웨이트,1,1,0,0,0
C1913,,하남 파크골프장,35.370181,128.717611,,,파크골프,0,0,1,0,0
